Rule_ID,Source,Flow_Type,Origin_Zone,Destination_Zone,Flow_Entity,Flow_Allowed,Intermediate_Zone_Required,Severity,Reason,Action_On_Violation,Explainability_Template
FLOW_001,AERB,Radiation_Control,Public_Zone,Restricted_Radiation_Zone,Patient,No,Controlled_Radiation_Zone,Hard_Fail,Patients must pass through controlled zones before entering radiation areas,Reject_Layout,Patient flow from public zone directly into restricted radiation zone detected.
FLOW_002,AERB,Radiation_Control,Public_Zone,Restricted_Radiation_Zone,Staff,No,Controlled_Radiation_Zone,Hard_Fail,Staff must be screened before accessing radiation-controlled spaces,Reject_Layout,Staff flow bypasses radiation control zone.
FLOW_003,AERB,Radiation_Control,Restricted_Radiation_Zone,Public_Zone,Patient,No,Controlled_Radiation_Zone,Hard_Fail,Direct exit from radiation zones to public areas is unsafe,Reject_Layout,Radiation room exits directly into public zone.
FLOW_004,AERB,MRI_Flow,MRI_Zone_I,MRI_Zone_IV,Patient,No,MRI_Zone_II|MRI_Zone_III,Hard_Fail,MRI access must follow Zone I → II → III → IV sequence,Reject_Layout,MRI patient flow skips mandatory safety zones.
FLOW_005,AERB,MRI_Flow,MRI_Zone_I,MRI_Zone_IV,Staff,No,MRI_Zone_II|MRI_Zone_III,Hard_Fail,Unscreened staff cannot access MRI magnet room,Reject_Layout,MRI staff flow violates zoning sequence.
FLOW_006,AERB,MRI_Flow,MRI_Zone_IV,Any_Zone,Equipment,No,MRI_Zone_III,Hard_Fail,MRI equipment movement must be strictly controlled,Reject_Layout,MRI equipment flow breaches magnet safety zoning.
FLOW_007,NABH,Patient_Flow,Waiting_Zone,Imaging_Zone,Patient,Yes,Changing_Zone,Hard_Fail,Patients must change before imaging procedures,Reject_Layout,Patient reaches imaging room without passing through changing zone.
FLOW_008,NABH,Patient_Flow,Imaging_Zone,Waiting_Zone,Patient,Yes,Recovery_Zone,Warning,Direct return to waiting may compromise privacy,Suggest_Optimization,Patient exits imaging room directly to waiting area.
FLOW_009,NABH,Infection_Control,Dirty_Zone,Clean_Zone,Patient,No,Dirty_Buffer_Zone,Hard_Fail,Dirty-to-clean patient movement causes contamination risk,Reject_Layout,Patient flow crosses from dirty to clean zone.
FLOW_010,NABH,Infection_Control,Dirty_Zone,Clean_Zone,Staff,No,Dirty_Buffer_Zone,Hard_Fail,Staff must follow decontamination protocol between zones,Reject_Layout,Staff flow violates infection control zoning.
FLOW_011,NABH,Operational_Flow,Staff_Only_Zone,Patient_Zone,Staff,Yes,None,Warning,Staff circulation through patient zones should be minimized,Suggest_Optimization,Staff flow through patient zone detected.
FLOW_012,NABH,Operational_Flow,Reporting_Zone,Imaging_Zone,Staff,Yes,None,Warning,Closer reporting-to-imaging flow improves turnaround,Suggest_Optimization,Reporting staff flow to imaging zone is indirect.
FLOW_013,NBC,Life_Safety,Any_Zone,Fire_Exit_Zone,Patient,Yes,None,Hard_Fail,Fire egress must be available from all occupied zones,Reject_Layout,No compliant fire exit flow from occupied zone.
FLOW_014,NBC,Life_Safety,Restricted_Zone,Fire_Exit_Zone,Patient,Yes,None,Hard_Fail,Restricted zones must still allow emergency evacuation,Reject_Layout,Restricted zone blocks emergency patient egress.
FLOW_015,NBC,Life_Safety,Fire_Exit_Zone,Public_Zone,Patient,Yes,None,Hard_Fail,Fire exits must discharge into public-safe areas,Reject_Layout,Fire exit does not discharge into public zone.
FLOW_016,Functional,Equipment_Flow,Equipment_Zone,Imaging_Zone,Equipment,Yes,None,Warning,Shorter equipment paths reduce downtime,Suggest_Optimization,Equipment flow path is longer than recommended.
FLOW_017,Functional,Material_Flow,Dirty_Zone,Service_Exit_Zone,Waste,Yes,None,Hard_Fail,Dirty material must exit via service routes only,Reject_Layout,Dirty material exits through patient circulation.
FLOW_018,Functional,Material_Flow,Clean_Zone,Dirty_Zone,Clean_Linen,No,Clean_Buffer_Zone,Hard_Fail,Clean supplies must not pass through dirty zones,Reject_Layout,Clean material flow crosses dirty zone.
